,AAPL,MSFT,GOOG,META
2000-08-01,137284000.0,47163600.0,,
2000-08-02,162355200.0,48269200.0,,
2000-08-03,339897600.0,54543400.0,,
2000-08-04,263121600.0,38107400.0,,
2000-08-07,187348000.0,52741800.0,,
2000-08-08,176674400.0,138038800.0,,
2000-08-09,379640800.0,63945600.0,,
2000-08-10,251714400.0,48986000.0,,
2000-08-11,238056000.0,35629600.0,,
2000-08-14,156660000.0,53427000.0,,
2000-08-15,114200800.0,40714200.0,,
2000-08-16,143673600.0,44976200.0,,
2000-08-17,270900000.0,36112800.0,,
2000-08-18,190176000.0,54438800.0,,
2000-08-21,134467200.0,34119600.0,,
2000-08-22,276802400.0,54428200.0,,
2000-08-23,236863200.0,36726800.0,,
2000-08-24,310766400.0,42405400.0,,
2000-08-25,334460000.0,52729400.0,,
2000-08-28,359004800.0,56421600.0,,
2000-08-29,267030400.0,59400200.0,,
2000-08-30,285392800.0,53498800.0,,
2000-08-31,419596800.0,72575400.0,,
2000-09-01,256872000.0,37629800.0,,
2000-09-04,256872000.0,37629800.0,,
2000-09-05,298642400.0,50755200.0,,
2000-09-06,355404000.0,62960800.0,,
2000-09-07,217464800.0,111711200.0,,
2000-09-08,195518400.0,56709600.0,,
2000-09-11,187381600.0,48495200.0,,
2000-09-12,187997600.0,46781200.0,,
2000-09-13,305984000.0,40744800.0,,
2000-09-14,426552000.0,78503000.0,,
2000-09-15,394514400.0,99915200.0,,
2000-09-18,424536000.0,69037800.0,,
2000-09-19,271510400.0,79311200.0,,
2000-09-20,227388000.0,67791400.0,,
2000-09-21,510490400.0,48952200.0,,
2000-09-22,726700800.0,84476600.0,,
2000-09-25,435551200.0,53484200.0,,
2000-09-26,290936800.0,155704800.0,,
2000-09-27,402259200.0,106155600.0,,
2000-09-28,979585600.0,52360400.0,,
2000-09-29,7421640800.0,74053600.0,,
2000-10-02,2424788800.0,58562400.0,,
2000-10-03,2038120000.0,85374000.0,,
2000-10-04,1466024000.0,136453400.0,,
2000-10-05,873006400.0,81099400.0,,
2000-10-06,612656800.0,61794000.0,,
2000-10-09,597564800.0,58323600.0,,
2000-10-10,691101600.0,62066200.0,,
2000-10-11,1198422400.0,101205800.0,,
2000-10-12,1191064000.0,90219600.0,,
2000-10-13,1247752800.0,104521200.0,,
2000-10-16,820176000.0,119759000.0,,
2000-10-17,601720000.0,81276600.0,,
2000-10-18,834265600.0,110536400.0,,
2000-10-19,1506724800.0,256993200.0,,
2000-10-20,791263200.0,160378600.0,,
2000-10-23,551292000.0,185170400.0,,
2000-10-24,804451200.0,94427400.0,,
2000-10-25,663969600.0,167603800.0,,
2000-10-26,721851200.0,114826600.0,,
2000-10-27,744503200.0,124292400.0,,
2000-10-30,639189600.0,110057600.0,,
2000-10-31,885880800.0,104474000.0,,
2000-11-01,575366400.0,81309400.0,,
2000-11-02,590693600.0,77985200.0,,
2000-11-03,515821600.0,68711000.0,,
2000-11-06,393478400.0,74851400.0,,
2000-11-07,301963200.0,104331200.0,,
2000-11-08,422088800.0,206149400.0,,
2000-11-09,476834400.0,91058600.0,,
2000-11-10,422251200.0,93744400.0,,
2000-11-13,431816000.0,83364800.0,,
2000-11-14,409001600.0,84218600.0,,
2000-11-15,282357600.0,60422200.0,,
2000-11-16,239372000.0,92128600.0,,
2000-11-17,446180000.0,106525600.0,,
2000-11-20,408066400.0,80157200.0,,
2000-11-21,301952000.0,59487600.0,,
2000-11-22,280532000.0,76343200.0,,
2000-11-23,280532000.0,76343200.0,,
2000-11-24,160932800.0,34439200.0,,
2000-11-27,258792800.0,85307600.0,,
2000-11-28,269124800.0,127446200.0,,
2000-11-29,492150400.0,98280400.0,,
2000-11-30,809597600.0,197200800.0,,
2000-12-01,385705600.0,109809800.0,,
2000-12-04,371520800.0,80407200.0,,
2000-12-05,613978400.0,101734400.0,,
2000-12-06,1374464000.0,90560800.0,,
2000-12-07,408917600.0,145308400.0,,
2000-12-08,435624000.0,120939800.0,,
2000-12-11,332511200.0,95576200.0,,
2000-12-12,386260000.0,63106000.0,,
2000-12-13,344887200.0,98360400.0,,
2000-12-14,263317600.0,71201400.0,,
2000-12-15,513945600.0,116899800.0,,
2000-12-18,325808000.0,107187400.0,,
2000-12-19,374007200.0,120271800.0,,
2000-12-20,565331200.0,149037800.0,,
2000-12-21,366844800.0,163173000.0,,
